id,source,idno,title,category,repository_id,publisher,nation,access,year_start,year_end,created_at,updated_at,page_views_total,download_count,landing_page,api_endpoint
627,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2015,Gran Encuesta Integrada de Hogares - GEIH - 2015 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2015,2015,2019-08-22T20:01:31+00:00,2019-08-22T20:16:31+00:00,112277,4259,https://microdatos.dane.gov.co/index.php/catalog/627,https://microdatos.dane.gov.co/index.php/api/catalog/627
750,microdatos.dane.gov.co,DANE-DIMPE-GEIH-2021-CIUDADES-INTERMEDIAS,"GEIH - 2021 - Ciudades Intermedias (Barrancabermeja, Buenaventura, Rionegro, Soacha y Tumaco)",Mercado Laboral.,MERCLAB-Microdatos,"Dirección de Metodología y Producción Estadística - DIMPE, ",Colombia,direct,2021,2021,2022-09-06T21:40:47+00:00,2022-09-06T21:45:56+00:00,84627,4255,https://microdatos.dane.gov.co/index.php/catalog/750,https://microdatos.dane.gov.co/index.php/api/catalog/750
407,microdatos.dane.gov.co,DANE-DIMPE-MTI-2015,Módulo de Trabajo Infantil - MTI- GEIH - 2015,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2015,2015,2016-04-22T19:39:40+00:00,2017-09-25T14:56:46+00:00,71330,4228,https://microdatos.dane.gov.co/index.php/catalog/407,https://microdatos.dane.gov.co/index.php/api/catalog/407
283,microdatos.dane.gov.co,DANE-DIMPE-ECP-2013,Encuesta de Cultura Política - ECP - 2013,Gobierno.,GOB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE -,Colombia,direct,2013,2013,2014-10-17T21:30:16+00:00,2017-10-17T21:23:32+00:00,173842,4212,https://microdatos.dane.gov.co/index.php/catalog/283,https://microdatos.dane.gov.co/index.php/api/catalog/283
762,microdatos.dane.gov.co,DANE-DIMPE-GEIH-EMPALME-2015,Gran Encuesta Integrada de Hogares - GEIH - Empalme - 2015,Mercado Laboral.,MERCLAB-Microdatos,El presente catálogo contiene las bases de datos de la GEIH con factor de expansión empalmado. A partir del año 2014 incluye información de las 8 ciudades capitales de la Amazonía y Orinoquía y San Andrés.,Colombia,direct,2015,2015,2022-11-11T16:28:08+00:00,2022-11-11T16:32:25+00:00,70809,4209,https://microdatos.dane.gov.co/index.php/catalog/762,https://microdatos.dane.gov.co/index.php/api/catalog/762
463,microdatos.dane.gov.co,DANE-DIMPE-SIPSA-I-2012-2016,Sistema de Información de Precios y Abastecimiento del Sector Agropecuario Componente de Insumos y Factores Asociados a la Producción Agropecuaria  – SIPSA - I - 2012 -2016,Metadatos - DANE,METADATOS,Departamento Administrativivo Nacional de Estadística - DANE,Colombia,data_na,2012,2016,2017-04-18T20:12:03+00:00,2017-04-18T20:12:03+00:00,42801,4194,https://microdatos.dane.gov.co/index.php/catalog/463,https://microdatos.dane.gov.co/index.php/api/catalog/463
434,microdatos.dane.gov.co,DANE-DIMPE-EDI-2015,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI - 2015 (ENTIDAD),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2015,2015,2016-12-05T21:05:21+00:00,2020-03-31T19:29:25+00:00,233437,4189,https://microdatos.dane.gov.co/index.php/catalog/434,https://microdatos.dane.gov.co/index.php/api/catalog/434
461,microdatos.dane.gov.co,DANE-DIMPE-SIPSA-P-2012-2016,Sistema de Información de Precios y Abastecimiento del Sector Agropecuario Componente de Precios Mayoristas – SIPSA - P - 2012.,Metadatos - DANE,METADATOS,Departamento Administrativivo Nacional de Estadística - DANE,Colombia,data_na,0,0,2017-04-06T12:27:36+00:00,2023-01-12T03:03:44+00:00,29306,4188,https://microdatos.dane.gov.co/index.php/catalog/461,https://microdatos.dane.gov.co/index.php/api/catalog/461
631,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2017,Gran Encuesta Integrada de Hogares - GEIH - 2017 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2017,2017,2019-08-23T15:54:15+00:00,2019-08-23T16:05:46+00:00,109818,4184,https://microdatos.dane.gov.co/index.php/catalog/631,https://microdatos.dane.gov.co/index.php/api/catalog/631
666,microdatos.dane.gov.co,DANE-DIMPE-GEIH-I-SEMESTRE-2019,Gran Encuesta Integrada de Hogares - GEIH - 2019 - San Andrés (I Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2019,2019,2020-05-20T12:37:10+00:00,2020-05-20T12:59:47+00:00,117729,4175,https://microdatos.dane.gov.co/index.php/catalog/666,https://microdatos.dane.gov.co/index.php/api/catalog/666
